GEOID,ruca_code,nc_rural_center
"37141920300",Metropolitan high commuting,Rural
"37141990100",Not coded,Rural
"37071031600",Metropolitan core,Not Rural
"37071031800",Metropolitan core,Not Rural
"37155961801",Micropolitan low commuting,Rural
"37155961601",Micropolitan high commuting,Rural
"37155960503",Micropolitan high commuting,Rural
"37155960502",Small town core,Not Rural
"37155960702",Micropolitan core,Not Rural
"37071032000",Metropolitan core,Not Rural
"37163970302",Rural area,Rural
"37045951503",Micropolitan low commuting,Rural
"37045950102",Micropolitan high commuting,Rural
"37045951501",Rural area,Not Rural
"37045951502",Micropolitan low commuting,Rural
"37071032301",Metropolitan core,Not Rural
"37191000104",Metropolitan high commuting,Rural
"37191000103",Metropolitan low commuting,Rural
"37191001401",Metropolitan core,Not Rural
"37191000603",Metropolitan low commuting,Rural
"37191000604",Metropolitan low commuting,Rural
"37191001402",Metropolitan core,Not Rural
"37191001103",Metropolitan high commuting,Rural
"37191001104",Metropolitan high commuting,Rural
"37071031001",Metropolitan core,Not Rural
"37071031301",Metropolitan core,Not Rural
"37071031500",Metropolitan core,Not Rural
"37071030700",Small town core,Not Rural
"37071033202",Metropolitan core,Not Rural
"37107010300",Micropolitan core,Not Rural
"37107010400",Micropolitan core,Not Rural
"37107010500",Micropolitan core,Not Rural
"37107010600",Micropolitan core,Not Rural
"37057061902",Metropolitan low commuting,Rural
"37057060302",Metropolitan core,Not Rural
"37119002701",Metropolitan core,Not Rural
"37119005404",Metropolitan core,Not Rural
"37119005403",Metropolitan core,Not Rural
"37119005519",Metropolitan core,Not Rural
"37119005516",Metropolitan core,Not Rural
"37119005515",Metropolitan core,Not Rural
"37097060200",Micropolitan core,Not Rural
"37155961200",Micropolitan core,Not Rural
"37055970102",Micropolitan core,Not Rural
"37055970602",Rural area,Rural
"37049961002",Micropolitan core,Not Rural
"37049961302",Micropolitan core,Not Rural
"37137990100",Not coded,Rural
"37015960100",Small town low commuting,Rural
"37015960200",Small town low commuting,Rural
"37169070200",Metropolitan high commuting,Rural
"37169070400",Metropolitan high commuting,Rural
"37169070600",Metropolitan high commuting,Rural
"37077970704",Rural area,Not Rural
"37097060601",Micropolitan core,Not Rural
"37105030102",Micropolitan core,Not Rural
"37105030101",Micropolitan core,Not Rural
"37055970601",Small town core,Not Rural
